schwedisch,deutsch,chapter,checkword,erfolg
"favoritfilm (-en, -er, -erna)",Lieblingsfilm,5_3,favoritfilm,0
favorit-,Lieblings-,5_3,favorit-,0
"skriva (skriver, skrev, skrivit) ner ",aufschreiben,5_3,skriva ner,0
"nyckelord (-et, =, -en) ",Schlüsselwort,5_3,nyckelord,0
"actionfilm (-en, -er, -erna) ",Actionfilm,5_3,actionfilm,0
"komedi (-n, -er, -erna) ",Komödie,5_3,komedi,0
"dokumentär (-en, -er, -erna) ",Dokumentarfilm,5_3,dokumentär,0
"science fiction-film (-en, -er, -erna)",Science-Fiction-Film ,5_3,science fiction-film,0
"drama (-t, dramer, dramerna)  ",Drama,5_3,drama,0
"thriller (-n, thrillrar, thrillrarna)  ",Thriller,5_3,thriller,0
"prat (-et, -) [om]","Unterhaltung, Gerede, Geschwätz [über]",5_4,prat [om],0
"helg (-en, -er, -erna) ",Wochenende,5_4,helg,0
tillbaka ,zurück,5_4,tillbaka,0
tillsammans,zusammen,5_4,tillsammans,0
"kollega (-n, -or, -orna) ",Arbeitskollege/Arbeitskollegin,5_4,kollega,0
i helgen,"am Wochenende (Vergangenheit, Zukunft)",5_4,i helgen,0
igår,gestern,5_4,igar,0
"stanna (-r, -de, -t) ",bleiben; dableiben; anhalten,5_4,stanna,0
"beställa (-er, -de, -t) ",bestellen,5_4,beställa,0
framför,vor (örtlich),5_4,framför,0
"tycka (-er, -te, -t)","meinen, finden",5_4,tycka,0
"feber (-n, febrar, febrarna) ",Fieber,5_4,feber,0
så (folgernde Konjunktion),"und deshalb/so (folgernde Konjunktion, ugs.)",5_4,sa,0
inte direkt,nicht gerade,5_4,inte direkt,0
"toppenkväll (-en, -ar, -arna) ",Superabend,5_4,toppenkväll,0
"gå (går, gick, gått) och fika (-r, -de, -t)",Kaffee trinken gehen,5_4,ga,0
"jogga (-r, -de, -t)  ",joggen,5_4,jogga,0
"gå (går, gick, gått) ut och äta (äter, åt, ätit)",(auswärts) essen gehen,5_4,ga,0
